I(mA),V(mV),B(gauss/10)
13.54,17.9,402
13.01,17.3,400
12.53,16.8,398
12.06,16.1,398
11.51,15.4,398
11.02,14.7,397
10.54,14.0,397
10.05,13.3,396
09.50,12.6,397
09.02,11.8,396
08.51,11.2,396
08.02,10.5,395
07.50,09.8,394
07.01,09.2,394
06.51,08.5,394
06.07,07.9,394
05.52,07.2,394
05.03,06.6,393
