Temperature_C,Vdc_V,Vsc_V
30,2.93,0.37
35,2.93,0.37
40,2.93,0.37
45,2.91,0.41
50,2.92,0.42
55,2.91,0.44
60,2.92,0.42
65,2.97,0.38
70,2.97,0.37
75,2.97,0.38
80,2.96,0.38
85,2.96,0.39
90,2.96,0.39
95,2.97,0.41
100,2.95,0.41
105,2.95,0.44
110,2.94,0.45
112,2.93,
113,2.92,
114,2.91,
115,2.9,
116,2.9,
117,2.89,
118,2.87,
119,2.85,
120,2.83,
121,2.81,
123,2.74,
124,2.7,
125,2.6,
126,2.43,
127,2.16,
128,1.95,
129,1.85,
130,1.85,
131,1.9,
132,1.94,
133,1.97,
134,2.01,
135,2.05,
136,2.08,
137,2.12,
138,2.16,
139,2.19,
140,2.23,
141,2.26,
142,2.29,
143,2.32,
144,2.34,
145,2.37,
146,2.39,
147,2.42,
148,2.45,
149,2.47,
150,2.49,
151,2.51,
152,2.52,
153,2.55,
154,2.57,
155,2.59,
156,2.61,
157,2.64,
